Vivado Simulator 2018.3
Time resolution is 1 ps
time =   0 ,Reset = 0 , btn_1 = 0 , btn_0 = 0 , and_val = 0 , cnt_val = 0
time =  50 ,Reset = 1 , btn_1 = 0 , btn_0 = 0 , and_val = 0 , cnt_val = 0
time =  75 ,Reset = 1 , btn_1 = 0 , btn_0 = 0 , and_val = 0 , cnt_val = 1
time = 100 ,Reset = 0 , btn_1 = 0 , btn_0 = 0 , and_val = 0 , cnt_val = 0
time = 150 ,Reset = 1 , btn_1 = 1 , btn_0 = 0 , and_val = 0 , cnt_val = 0
time = 175 ,Reset = 1 , btn_1 = 1 , btn_0 = 0 , and_val = 0 , cnt_val = 1
time = 225 ,Reset = 1 , btn_1 = 1 , btn_0 = 0 , and_val = 0 , cnt_val = 2
time = 250 ,Reset = 1 , btn_1 = 0 , btn_0 = 1 , and_val = 0 , cnt_val = 2
time = 275 ,Reset = 1 , btn_1 = 0 , btn_0 = 1 , and_val = 0 , cnt_val = 3
time = 325 ,Reset = 1 , btn_1 = 0 , btn_0 = 1 , and_val = 0 , cnt_val = 4
time = 350 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 4
time = 375 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 5
time = 425 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 6
time = 475 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 7
time = 525 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 8
time = 575 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 9
time = 625 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = a
time = 675 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 0
time = 725 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 1
time = 775 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 2
time = 825 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 3
time = 875 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 4
time = 925 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 5
time = 975 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 6
time = 1025 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 7
time = 1075 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 8
time = 1125 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 9
time = 1175 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = a
time = 1225 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 0
time = 1275 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 1
time = 1325 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 2
time = 1375 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 3
time = 1425 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 4
time = 1475 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 5
time = 1525 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 6
time = 1575 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 7
time = 1625 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 8
time = 1675 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 9
time = 1725 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = a
time = 1775 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 0
time = 1825 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 1
time = 1875 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 2
time = 1925 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 3
time = 1975 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 4
time = 2025 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 5
time = 2075 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 6
time = 2125 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 7
time = 2175 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 8
time = 2225 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 9
time = 2275 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = a
time = 2325 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 0
time = 2375 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 1
time = 2425 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 2
time = 2475 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 3
time = 2525 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 4
time = 2575 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 5
time = 2625 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 6
time = 2675 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 7
time = 2725 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 8
time = 2775 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 9
time = 2825 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = a
time = 2875 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 0
time = 2925 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 1
time = 2975 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 2
time = 3025 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 3
time = 3075 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 4
time = 3125 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 5
time = 3175 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 6
time = 3225 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 7
time = 3275 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 8
time = 3325 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 9
time = 3375 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = a
time = 3425 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 0
time = 3475 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 1
time = 3525 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 2
time = 3575 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 3
time = 3625 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 4
time = 3675 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 5
time = 3725 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 6
time = 3775 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 7
time = 3825 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 8
time = 3875 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 9
time = 3925 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = a
time = 3975 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 0
time = 4025 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 1
time = 4075 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 2
time = 4125 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 3
time = 4175 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 4
time = 4225 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 5
time = 4275 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 6
time = 4325 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 7
time = 4375 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 8
time = 4425 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 9
time = 4475 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = a
time = 4525 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 0
time = 4575 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 1
time = 4625 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 2
time = 4675 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 3
time = 4725 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 4
time = 4775 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 5
time = 4825 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 6
time = 4875 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 7
time = 4925 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 8
time = 4975 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 9
time = 5025 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = a
time = 5075 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 0
time = 5125 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 1
time = 5175 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 2
time = 5225 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 3
time = 5275 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 4
time = 5325 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 5
time = 5375 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 6
time = 5425 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 7
time = 5475 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 8
time = 5525 ,Reset = 1 , btn_1 = 1 , btn_0 = 1 , and_val = 1 , cnt_val = 9
